State,Assembly,Candidate,Party,Votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,90969
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,83157
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Aam Aadmi Party,3737
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANITA MONDAL,All India Trinamool Congress,2283
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K.G.DAS,Communist Party of India (Marxist),1777
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Independent,1587
Andaman & Nicobar Islands,Andaman & Nicobar Islands,R.S.UMA BHARATTHY,Nationalist Congress Party,1151
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Bahujan Samaj Party,1139
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SARAVANAN,Independent,847
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N K P NAIR,Communist Party of India (Marxist-Leninist) (Liberation),436
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Independent,429
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RAGHUBIR SINGH,Samajwadi Party,379
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,Independent,334
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N KANNAN,Independent,314
Andaman & Nicobar Islands,Andaman & Nicobar Islands,A PANDIAN,All India Forward Bloc,225
Andaman & Nicobar Islands,Andaman & Nicobar Islands,None of the Above,None of the Above,1564
Andhra Pradesh,Adilabad,GODAM NAGESH,Telangana Rashtra Samithi,430847
Andhra Pradesh,Adilabad,NARESH,Indian National Congress,259557
Andhra Pradesh,Adilabad,RAMESH RATHOD,Telugu Desam,184198
Andhra Pradesh,Adilabad,RATHOD SADASHIV,Bahujan Samaj Party,94420
Andhra Pradesh,Adilabad,NETHAWATH RAMDAS,Independent,41032
Andhra Pradesh,Adilabad,MOSALI CHINNAIAH,Independent,8859
Andhra Pradesh,Adilabad,PAWAR KRISHNA,Independent,5055
Andhra Pradesh,Adilabad,BANKA SAHADEV,Independent,4787
Andhra Pradesh,Adilabad,None of the Above,None of the Above,17084
Andhra Pradesh,Amalapuram,DR PANDULA RAVINDRA BABU,Telugu Desam,594547
Andhra Pradesh,Amalapuram,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,473971
Andhra Pradesh,Amalapuram,AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,Indian National Congress,12182
Andhra Pradesh,Amalapuram,G.V.HARSHA KUMAR,Jai Samaikyandhra Party,9931
Andhra Pradesh,Amalapuram,GEDDAM SAMPADA RAO,Bahujan Samaj Party,7219
Andhra Pradesh,Amalapuram,KUNCHE PEDASATYANARAYANA,Pyramid Party of India,4560
Andhra Pradesh,Amalapuram,KONKI VENKATA RAO,Republican Paksha (Khoripa),3233
Andhra Pradesh,Amalapuram,VIJAYA CHAKRAVARTHY PANTHAGADA,Republican Party of India (Khobragade),2867
Andhra Pradesh,Amalapuram,VADDI WINSTON CHURCHILL,Independent,1684
Andhra Pradesh,Amalapuram,YALANGI RAMESH,Independent,1171
Andhra Pradesh,Amalapuram,KASI CHANDRAMOULI,Independent,1110
Andhra Pradesh,Amalapuram,UNDRU GANI RAJU,Independent,862
Andhra Pradesh,Amalapuram,BHASKARA RAO BUNGA,Independent,824
Andhra Pradesh,Amalapuram,KOMMU SATYAVATHI,Independent,625
Andhra Pradesh,Amalapuram,None of the Above,None of the Above,6141
Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,568463
Andhra Pradesh,Anakapalli,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,520531
Andhra Pradesh,Anakapalli,VIJAYA LAKSHMI THOTA,Indian National Congress,17770
Andhra Pradesh,Anakapalli,KARANAM TIRUPATHI RAO,Bahujan Samaj Party,14834
Andhra Pradesh,Anakapalli,KONDARAJU JAMPANA,Jai Samaikyandhra Party,6261
Andhra Pradesh,Anakapalli,VADLAMURI KRISHNA SWAROOP,Dalita Bahujana Party,5506
Andhra Pradesh,Anakapalli,APPALARAJU SADARAM,Independent,3228
Andhra Pradesh,Anakapalli,SARISA LEELA PRASANNA KUMARI,Pyramid Party of India,2875
Andhra Pradesh,Anakapalli,None of the Above,None of the Above,8604
Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,Telugu Desam,606509
Andhra Pradesh,Anantapur,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,545240
Andhra Pradesh,Anantapur,ANIL CHOWDARY. P,Indian National Congress,16659
Andhra Pradesh,Anantapur,T.KULDEEP CHOWDARY,Samaikya Telugu Rajyam,6517
Andhra Pradesh,Anantapur,KASANI NAGARAJU,Bahujan Samaj Party,6201
Andhra Pradesh,Anantapur,SHAIK. MOHAMMAD SHAFI.,Independent,3018
Andhra Pradesh,Anantapur,BOYA ANIL KUMAR,Jai Samaikyandhra Party,2779
Andhra Pradesh,Anantapur,D. SOMANATH,Independent,2263
Andhra Pradesh,Anantapur,PAVAN KUMAR,Pyramid Party of India,2070
Andhra Pradesh,Anantapur,B. SRINIVASULU,Independent,1589
Andhra Pradesh,Anantapur,BUZIREDDY VENUGOPAL REDDY,Indian Christian Secular Party,1381
Andhra Pradesh,Anantapur,G. NAGARAJU,Independent,1086
Andhra Pradesh,Anantapur,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),944
Andhra Pradesh,Anantapur,None of the Above,None of the Above,8798
Andhra Pradesh,Aruku,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,413191
Andhra Pradesh,Aruku,GUMMIDI SANDHYARANI,Telugu Desam,321793
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,Indian National Congress,52884
Andhra Pradesh,Aruku,MIDIYAM BABURAO,Communist Party of India (Marxist),38898
Andhra Pradesh,Aruku,KANGALA BALUDORA,Independent,23215
Andhra Pradesh,Aruku,CHETTI SANKARARAO,Independent,8951
Andhra Pradesh,Aruku,BURJABARIKI DHANARAJU,Aam Aadmi Party,8569
Andhra Pradesh,Aruku,SALLANGI RATNAM,Independent,7688
Andhra Pradesh,Aruku,BIDDIKA RAMAIAH,Independent,7587
Andhra Pradesh,Aruku,IILLA RAMI REDDY,Independent,5692
Andhra Pradesh,Aruku,VANUGU SANKARARAO,Independent,4614
Andhra Pradesh,Aruku,None of the Above,None of the Above,16532
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,Telugu Desam,578145
Andhra Pradesh,Bapatla,VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,545391
Andhra Pradesh,Bapatla,PANABAKA LAKSHMI,Indian National Congress,23072
Andhra Pradesh,Bapatla,YALLAMATI RAMESH,Pyramid Party of India,8414
Andhra Pradesh,Bapatla,DWARAPALLI PHILIP,Bahujan Samaj Party,8113
Andhra Pradesh,Bapatla,EDA CHENNAIAH,Aam Aadmi Party,3948
Andhra Pradesh,Bapatla,R.D.WILSON,Jai Samaikyandhra Party,3657
Andhra Pradesh,Bapatla,PERLI PRASANNA DEEVENA KUMAR (PRASANNA),Indian Labour Party (Ambedkar Phule),2967
Andhra Pradesh,Bapatla,RATNABABU MAMIDI,Independent,1206
Andhra Pradesh,Bapatla,BABURAO GOLLA,Independent,823
Andhra Pradesh,Bapatla,GADDE THYAGARAJU,Independent,749
Andhra Pradesh,Bapatla,GOGULAMUDI NARASIMHA RAO,Independent,720
Andhra Pradesh,Bapatla,BANDELA NAGESWARA RAO,Independent,668
Andhra Pradesh,Bapatla,NAKKALA VEERANJANEYULU,Independent,615
Andhra Pradesh,Bapatla,None of the Above,None of the Above,6146
Andhra Pradesh,Bhongir,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,448245
Andhra Pradesh,Bhongir,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,417751
Andhra Pradesh,Bhongir,INDRASENA REDDY NALLU,Bharatiya Janata Party,183217
Andhra Pradesh,Bhongir,CHERUPALLY SEETHARAMULU,Communist Party of India (Marxist),54040
Andhra Pradesh,Bhongir,VARIKUPPALA KRISHNA VADDERA,Independent,35011
Andhra Pradesh,Bhongir,NAVULLA MALLA REDDY,Independent,26805
Andhra Pradesh,Bhongir,ARVAPALLY AMBATI,Bahujan Samaj Party,9029
Andhra Pradesh,Bhongir,RAVULAPALLY KONDAL RAO,Independent,7722
Andhra Pradesh,Bhongir,BOILLA NARENDER,Republican Party of India,6850
Andhra Pradesh,Bhongir,KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal,5552
Andhra Pradesh,Bhongir,GUAHATI MOTHILAL,All India Majlis-E-Ittehadul Muslimeen,2600
Andhra Pradesh,Bhongir,GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party,2341
Andhra Pradesh,Bhongir,NAGULA SRINIVAS YADAV,Mahajana Socialist Party,1859
Andhra Pradesh,Bhongir,None of the Above,None of the Above,10921
Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,435077
Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,Indian National Congress,362054
Andhra Pradesh,CHELVELLA,TULLA VEERENDER,Telugu Desam,353203
Andhra Pradesh,CHELVELLA,CHAN PASHA,Akhil Bharatiya Muslim League (Secular),56835
Andhra Pradesh,CHELVELLA,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party,40135
Andhra Pradesh,CHELVELLA,G.MALLESHAM GOUD,Independent,24660
Andhra Pradesh,CHELVELLA,SAMALA RAVINDAR,Bahujan Samaj Party,7732
Andhra Pradesh,CHELVELLA,REGATTE VENKAT REDDY,Aam Aadmi Party,7462
Andhra Pradesh,CHELVELLA,KUMMARI GIRI,Pyramid Party of India,5789
Andhra Pradesh,CHELVELLA,MD YUNUS MIYA,Marxist Communist Party of India (United),2904
Andhra Pradesh,CHELVELLA,DR. P. SADHU SATYANADHAN,Indian Christian Secular Party,2545
Andhra Pradesh,CHELVELLA,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,2214
Andhra Pradesh,CHELVELLA,SANIKE RAM GOPAL YADAV,Independent,2058
Andhra Pradesh,CHELVELLA,DR.GOLLA RAMAIAH,Telangana Loksatta Party,1765
Andhra Pradesh,CHELVELLA,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League,1411
Andhra Pradesh,CHELVELLA,None of the Above,None of the Above,10018
Andhra Pradesh,Chittoor,NARAMALLI SIVAPRASAD,Telugu Desam,594862
Andhra Pradesh,Chittoor,G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,550724
Andhra Pradesh,Chittoor,DR.B.RAJAGOPAL,Indian National Congress,16572
Andhra Pradesh,Chittoor,JITHENDRA KUMAR.DHANDU,Bahujan Samaj Party,15897
Andhra Pradesh,Chittoor,P. PUSHPA RAJ,Jai Samaikyandhra Party,5740
Andhra Pradesh,Chittoor,S. ANJAPPA,Independent,4321
Andhra Pradesh,Chittoor,UDAYA C.S,Pyramid Party of India,3803
Andhra Pradesh,Chittoor,None of the Above,None of the Above,6996
Andhra Pradesh,Eluru,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,623471
Andhra Pradesh,Eluru,THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,521545
Andhra Pradesh,Eluru,MUSUNURI NAGESWARA RAO,Indian National Congress,11770
Andhra Pradesh,Eluru,NETALA RAMESH BABU,Bahujan Samaj Party,11670
Andhra Pradesh,Eluru,GOVADA VIJAYA KUMARI,Prem Janata Dal,4483
Andhra Pradesh,Eluru,U VENKATESWARARAO (U.V),Independent,3971
Andhra Pradesh,Eluru,MENDEM SANTOSH KUMAR ( PEDABABULU),Indian Labour Party (Ambedkar Phule),3423
Andhra Pradesh,Eluru,K.V.V.SATYANARAYANA,Jai Samaikyandhra Party,2873
Andhra Pradesh,Eluru,C.V.SARADA DEVI,Independent,2720
Andhra Pradesh,Eluru,SAVANAPUDI NAGARAJU,Marxist Communist Party of India (United),2318
Andhra Pradesh,Eluru,U .V. RAMA RAO,Pyramid Party of India,1323
Andhra Pradesh,Eluru,K.VIJAYA LAKSHMI PANDIT,Independent,1320
Andhra Pradesh,Eluru,GANGADHARA RAO NANNAPANENI,Independent,1302
Andhra Pradesh,Eluru,ASHOK YANTRAPATI,Mahajana Socialist Party,1212
Andhra Pradesh,Eluru,JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA,Independent,751
Andhra Pradesh,Eluru,None of the Above,None of the Above,7544
Andhra Pradesh,Guntur,JAYADEV GALLA,Telugu Desam,618417
Andhra Pradesh,Guntur,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,549306
Andhra Pradesh,Guntur,ABDUL WAHEED SHAIK,Indian National Congress,46818
Andhra Pradesh,Guntur,MALLELA VENKATA RAO,Jai Samaikyandhra Party,5608
Andhra Pradesh,Guntur,MALLELA BABU RAO,Bahujan Samaj Party,4223
Andhra Pradesh,Guntur,UDAIA KUMAR MUSUKU,Indian Christian Secular Party,2852
Andhra Pradesh,Guntur,DR. KOUTHARAPU RAVINDRA,Great India Party,2594
Andhra Pradesh,Guntur,KATA VEERA VARA PRASAD,Aam Aadmi Party,2344
Andhra Pradesh,Guntur,ABBURI KOTESWARA RAO,Pyramid Party of India,1636
Andhra Pradesh,Guntur,EMANI CHANDRA SEKHAR RAO,Navodyam Party,1455
Andhra Pradesh,Guntur,BITRA VENKATA SIVANNARAYANA,Independent,1169
Andhra Pradesh,Guntur,ARUDALA VENKATESWARA RAO,Independent,908
Andhra Pradesh,Guntur,None of the Above,None of the Above,7596
Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,Telugu Desam,604291
Andhra Pradesh,Hindupur,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,506966
Andhra Pradesh,Hindupur,G.C VENKATARAMUDU,Indian National Congress,36452
Andhra Pradesh,Hindupur,K.MOHAMMAD SHAMEER BASHA,Jai Samaikyandhra Party,4590
Andhra Pradesh,Hindupur,AMUDALA SUBRAMANYAM,Rayalaseema Parirakshana Samithi,4521
Andhra Pradesh,Hindupur,ANAND,Pyramid Party of India,3101
Andhra Pradesh,Hindupur,MADDIPATLA SUDHAKAR NAIDU,Independent,2332
Andhra Pradesh,Hindupur,D. SOMANATH,Independent,2032
Andhra Pradesh,Hindupur,CHINTA SARATH KUMAR REDDY,Independent,1275
Andhra Pradesh,Hindupur,APPIREDDYGARI KONDA REDDY,Independent,1257
Andhra Pradesh,Hindupur,K.PEDDA REDDI,Independent,1152
Andhra Pradesh,Hindupur,ASADULLAH K.M,Independent,1099
Andhra Pradesh,Hindupur,None of the Above,None of the Above,8189
Andhra Pradesh,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,513868
Andhra Pradesh,Hyderabad,DR.BHAGAVANTH RAO,Bharatiya Janata Party,311414
Andhra Pradesh,Hyderabad,S KRISHNA REDDY,Indian National Congress,49310
Andhra Pradesh,Hyderabad,RASHID SHAREEF,Telangana Rashtra Samithi,37195
Andhra Pradesh,Hyderabad,BINGHI RAJASHEKAR,Pyramid Party of India,21796
Andhra Pradesh,Hyderabad,BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party,10743
Andhra Pradesh,Hyderabad,LUBNA SARWATH,Aam Aadmi Party,6118
Andhra Pradesh,Hyderabad,M A HABEEB,Independent,5992
Andhra Pradesh,Hyderabad,VENU GOPAL.P,Bahujan Samaj Party,3100
Andhra Pradesh,Hyderabad,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek,2102
Andhra Pradesh,Hyderabad,S.KHAJA MOINUDDIN,All India Azaad Congress Party,1593
Andhra Pradesh,Hyderabad,SYED ABDUL GAFFER,Independent,740
Andhra Pradesh,Hyderabad,MD OSMAN,Independent,728
Andhra Pradesh,Hyderabad,SHAIK MOIN,Independent,626
Andhra Pradesh,Hyderabad,JAYA VINDHYALA,Socialist Party (India),598
Andhra Pradesh,Hyderabad,N.MAHENDER SINGH,Nava Bharat National Party,485
Andhra Pradesh,Hyderabad,None of the Above,None of the Above,5013
Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,671983
Andhra Pradesh,Kadapa,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,481660
Andhra Pradesh,Kadapa,AJAYA KUMAR VEENA,Indian National Congress,14319
Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Bahujan Samaj Party,5515
Andhra Pradesh,Kadapa,YELLIPALEM RAMESH.REDDY,Janata Dal (United),3809
Andhra Pradesh,Kadapa,SAJID HUSSAIN,Aam Aadmi Party,3401
Andhra Pradesh,Kadapa,DR. SHAIK GHOUSE PEER,Jai Samaikyandhra Party,3219
Andhra Pradesh,Kadapa,B. PULLAIAH,Ambedkar National Congress,2565
Andhra Pradesh,Kadapa,VARADI SOBHARANI,Dalita Bahujana Party,2240
Andhra Pradesh,Kadapa,GAJJALA.RAMA SUBBA REDDY,Pyramid Party of India,1821
Andhra Pradesh,Kadapa,POREDDY PRABHAKARA REDDY,Independent,1217
Andhra Pradesh,Kadapa,RACHINENI. VENUGOPAL,Rashtriya Praja Congress (Secular),1034
Andhra Pradesh,Kadapa,PUTHA. LAKSHMI REDDY,All India Forward Bloc,933
Andhra Pradesh,Kadapa,G.V.A.K. REDDY,Janata Dal (Secular),888
Andhra Pradesh,Kadapa,None of the Above,None of the Above,6058
Andhra Pradesh,Kakinada,THOTA NARASIMHAM,Telugu Desam,514402
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,510971
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,19754
Andhra Pradesh,Kakinada,MOTHA SARADA,Republican Party of India (Khobragade),6836
Andhra Pradesh,Kakinada,JALLURI VENKATESWARLU (J.V),Independent,6636
Andhra Pradesh,Kakinada,TUMMALAPALLI SATYA RAMAKRISHNA,Jai Samaikyandhra Party,6442
Andhra Pradesh,Kakinada,TEKUMUDI VENKATA RAO,Pyramid Party of India,3826
Andhra Pradesh,Kakinada,DONKA LEELAVATHI,Independent,3756
Andhra Pradesh,Kakinada,KOLA VENKATA PRASAD VARMA,Rashtriya Janata Dal,3473
Andhra Pradesh,Kakinada,MUTHABATHULA RATNA KUMAR,Bahujan Samaj Party,2511
Andhra Pradesh,Kakinada,SRINIVAS DANGETI,Aam Aadmi Party,2356
Andhra Pradesh,Kakinada,KARRA VENKATA APPALA NARASIMHA RAO,Independent,1907
Andhra Pradesh,Kakinada,ROKKAM DAYAKAR,Republican Paksha (Khoripa),1837
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,Independent,1697
Andhra Pradesh,Kakinada,ARJUNARAO YEGUPATI,Communist Party of India (Marxist-Leninist) (Liberation),1495
Andhra Pradesh,Kakinada,GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),Independent,1417
Andhra Pradesh,Kakinada,VINJAMALLA CHITTI BABU,Independent,1400
Andhra Pradesh,Kakinada,CHAGANTI SURYANARAYANA MURTY,Independent,1236
Andhra Pradesh,Kakinada,PEPAKAYALA SUBHA RAJENDRA,Independent,1161
Andhra Pradesh,Kakinada,KUNCHE RAMADAS,Independent,1122
Andhra Pradesh,Kakinada,MERLA BHAVANI SANKARA PRASAD,Independent,910
Andhra Pradesh,Kakinada,PRABHAKARA RAO MADIKI,Independent,496
Andhra Pradesh,Kakinada,None of the Above,None of the Above,4358
Andhra Pradesh,Karimnagar,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,505783
Andhra Pradesh,Karimnagar,PONNAM PRABHAKAR,Indian National Congress,300706
Andhra Pradesh,Karimnagar,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party,214828
Andhra Pradesh,Karimnagar,SHAIK MAHMOOD,Welfare Party Of India,39325
Andhra Pradesh,Karimnagar,B. LAXMAN,Bahujan Samaj Party,11333
Andhra Pradesh,Karimnagar,REDDI MALLA SRINIVAS,Republican Party of India (A),8040
Andhra Pradesh,Karimnagar,MOHAMMED AMJAD MOHIUDDIN,Independent,6720
Andhra Pradesh,Karimnagar,BURLA. RAVI,Nationalist Congress Party,4769
Andhra Pradesh,Karimnagar,KANDEM PRABHAKAR,Independent,4731
Andhra Pradesh,Karimnagar,L. PRABHAKAR REDDY,Pyramid Party of India,3944
Andhra Pradesh,Karimnagar,SRINIVAS REDDY LINGAMPALLY,Independent,3865
Andhra Pradesh,Karimnagar,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party,3773
Andhra Pradesh,Karimnagar,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party,3080
Andhra Pradesh,Karimnagar,MALLESH YADAV BARLA,Independent,2760
Andhra Pradesh,Karimnagar,UPPULETI.LAXMAN,Independent,2448
Andhra Pradesh,Karimnagar,RANAVENI LAKSHMAN,New India Party,2062
Andhra Pradesh,Karimnagar,PULIKOTA RAMESH,Independent,1777
Andhra Pradesh,Karimnagar,None of the Above,None of the Above,5747
Andhra Pradesh,Khammam,PONGULETI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,421957
Andhra Pradesh,Khammam,NAMA NAGESWARA RAO,Telugu Desam,409983
Andhra Pradesh,Khammam,KANKANALA NARAYANA,Communist Party of India,187653
Andhra Pradesh,Khammam,BUDAN BAIG SHAIK,Telangana Rashtra Samithi,89063
Andhra Pradesh,Khammam,LINGALA RAVI KUMAR,Independent,9454
Andhra Pradesh,Khammam,GOKINEPALLI VENKATESWARA RAO,Independent,8053
Andhra Pradesh,Khammam,BACHALA LAXMAIAH,Independent,6494
Andhra Pradesh,Khammam,MOKALLA RAMESH,Independent,5386
Andhra Pradesh,Khammam,KAKI BHASKAR,Independent,5354
Andhra Pradesh,Khammam,NAGARJUNA CHERUKURU,Jai Samaikyandhra Party,4999
Andhra Pradesh,Khammam,DODDA RAM BABU,Bahujan Samaj Party,4757
Andhra Pradesh,Khammam,NAGIREDDY RAJI REDDY,Independent,4480
Andhra Pradesh,Khammam,MEDARAMETLA RAMA RAO,Pyramid Party of India,4135
Andhra Pradesh,Khammam,BANOTH KISHAN NAYAK,Independent,1611
Andhra Pradesh,Khammam,GUGULOTHU SARVAN,Independent,1488
Andhra Pradesh,Khammam,GUGULOTHU RANJITH KUMAR,Independent,1432
Andhra Pradesh,Khammam,BANOTH LAXMA NAIK,Independent,1338
Andhra Pradesh,Khammam,RAMESH KOMMU,Independent,1267
Andhra Pradesh,Khammam,MUDIGE NAGESWARA RAO,Independent,1194
Andhra Pradesh,Khammam,JERRIPOTHULA SRINIVAS,Independent,1116
Andhra Pradesh,Khammam,KALTHI VENKATESWARLU,Independent,1059
Andhra Pradesh,Khammam,RAMU KANDULA,Independent,1019
Andhra Pradesh,Khammam,KALTHI RAMULAMMA,Independent,980
Andhra Pradesh,Khammam,BUSIREDDY SHANKAR REDDY,Independent,963
Andhra Pradesh,Khammam,KANAKAM TIRUMALA RAO,Independent,916
Andhra Pradesh,Khammam,SANAPA POMMAIAH,Independent,886
Andhra Pradesh,Khammam,MARIKANTI VASUDASU,Independent,877
Andhra Pradesh,Khammam,None of the Above,None of the Above,4983
Andhra Pradesh,Kurnool,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,472782
Andhra Pradesh,Kurnool,B.T. NAIDU,Telugu Desam,428651
Andhra Pradesh,Kurnool,KOTLA JAYASURYAPRAKASH REDDY,Indian National Congress,116603
Andhra Pradesh,Kurnool,NOOR AHMED MADANI,Socialistic Democratic Party,11393
Andhra Pradesh,Kurnool,VISSA KIRAN KUMAR,Aam Aadmi Party,6522
Andhra Pradesh,Kurnool,R.J.MALLIKAL,Bahujan Samaj Party,5746
Andhra Pradesh,Kurnool,G.JAKEER HUSSAIN,Jai Samaikyandhra Party,3600
Andhra Pradesh,Kurnool,D YUGANDHAR,Independent,2820
Andhra Pradesh,Kurnool,D CHAND BASHA,Independent,2605
Andhra Pradesh,Kurnool,KOTHURU.SATYANARAYANA GUPTA,Independent,2021
Andhra Pradesh,Kurnool,NAGELLA ELIA,Welfare Party Of India,1990
Andhra Pradesh,Kurnool,KONDIPARTHI .VENKAT PRASAD,Republican Party of India,1614
Andhra Pradesh,Kurnool,None of the Above,None of the Above,9385
Andhra Pradesh,Machilipatnam,KONAKALLA NARAYANA RAO,Telugu Desam,587280
Andhra Pradesh,Machilipatnam,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,506223
Andhra Pradesh,Machilipatnam,SISTLA RAMESH,Indian National Congress,14111
Andhra Pradesh,Machilipatnam,KAMMILI SRINIVAS,Jai Samaikyandhra Party,7692
Andhra Pradesh,Machilipatnam,VADAPALLI RAGHUNADH,Pyramid Party of India,4401
Andhra Pradesh,Machilipatnam,PRASADA RAO PEGGEM,Bahujan Samaj Party,4085
Andhra Pradesh,Machilipatnam,PARASA SRINIVASA RAO,Independent,3399
Andhra Pradesh,Machilipatnam,MOHAMMAD ISHAQ,Independent,1770
Andhra Pradesh,Machilipatnam,YUNDURI SUBRAMANYASWARA RAO (MANI),Independent,1597
Andhra Pradesh,Machilipatnam,YARLAGADDA RAMA MOHAN RAO,Independent,1405
Andhra Pradesh,Machilipatnam,JAMPANA SRINIVASA GOUD,Independent,931
Andhra Pradesh,Machilipatnam,None of the Above,None of the Above,8171
Andhra Pradesh,Mahabubabad,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,320569
Andhra Pradesh,Mahabubabad,P. BALRAM,Indian National Congress,285577
Andhra Pradesh,Mahabubabad,BANOTH MOHANLAL,Telugu Desam,215904
Andhra Pradesh,Mahabubabad,TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party,128465
Andhra Pradesh,Mahabubabad,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent,94014
Andhra Pradesh,Mahabubabad,LAXMAN BUKYA,Independent,14026
Andhra Pradesh,Mahabubabad,V. GOURI NAGAMANI,Independent,13664
Andhra Pradesh,Mahabubabad,DATLA NAGESHWAR RAO,Independent,6854
Andhra Pradesh,Mahabubabad,KAVITHA RANI LUNAVATH,Pyramid Party of India,6627
Andhra Pradesh,Mahabubabad,BODA RAASI,Bahujan Samaj Party,6224
Andhra Pradesh,Mahabubabad,LAXMINARAYANA BORRA,Independent,5888
Andhra Pradesh,Mahabubabad,METLA PAPAIAH,Independent,3922
Andhra Pradesh,Mahabubabad,GUGULOTU JAGAN,Marxist Communist Party of India (United),3671
Andhra Pradesh,Mahabubabad,PADIGA YARRAIAH,Independent,3492
Andhra Pradesh,Mahabubabad,PONAKA SAMMAKKA,Independent,3475
Andhra Pradesh,Mahabubabad,BALUNAYAK BHUKYA,Independent,3094
Andhra Pradesh,Mahabubabad,EESAM SUDHAKAR,Independent,2199
Andhra Pradesh,Mahabubabad,None of the Above,None of the Above,6705
Andhra Pradesh,Mahbubnagar,AP JITHENDER REDDY,Telangana Rashtra Samithi,334228
Andhra Pradesh,Mahbubnagar,JAIPAL REDDY SUDINI,Indian National Congress,331638
Andhra Pradesh,Mahbubnagar,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party,272791
Andhra Pradesh,Mahbubnagar,S.R.PREMAIAH,Pyramid Party of India,30388
Andhra Pradesh,Mahbubnagar,KADIRE KRISHNA,Bahujan Samaj Party,15779
Andhra Pradesh,Mahbubnagar,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party,9105
